post_id,topic,topic_name,probability_score,label,text,engagement
19057218,1,Movies/TV,1,1,Barbie was the most critical theory-ass toy commercial that's ever been produced. I think there are major problems with it but it's decision to make the the Freudian-Marxist-Hegelian critique of ideology the text of the film instead of a subtext to be mined was certainly a choice.,24
189908235,3,Pets,1,0,"when Sam was in 8th grade, TWO of their dogs died in one week. coincidentally, their priest gave a sermon that week about how dogs don’t go to heaven. they began crying in church and their dad dragged them out and lectured them about being an embarrassment.
anyways the Pope said dogs go to heaven.",11
200874618,65,Mental Health,1,1,I know it's not accurate but when my ADHD causes me to hyper fixate on something and make a lot of progress I like to say my ADHD got so bad it caused me to forget I had ADHD and become temporarily productive and normal,16
53723290,1,Movies/TV,1,0,I’m glad about Best Actor bc now somebody can cast Paul Giamatti in a movie that doesn’t suck ass so he can get an Oscar for something good instead of everyone needing to pretend it was bc he wore a contact lens in a. otherwise terrible film,11
24957194,21,Sports,1,1,"It's tough to criticize gambling without coming across as a moral scold, at least for me. All that said, watching the predatory fantasy betting slash betting betting industries glom right onto every single professional sports enterprise is really dispiriting. But then so is the stock market.",18
5558363,30,Economy,1,1,"corporate greed is a real problem and it’s a challenging one to solve, but, separately, i’m totally mystified by the number of people who are ostensibly on the left-ish side of the dial who seem to sincerely believe that working class wage growth should have had no impact on prices for goods",167
27864283,1,Movies/TV,1,1,"Do women have to cry to win a Best Actress Oscar?

Over the past 50 years, 96% of the women who won the Oscar for Best Actress* have cried in their performances.

In the same 50 years, only  60% of men who won had roles where they had to cry.

*Even the photo collage of  actresses is telling. ⚪️",27
163198518,65,Mental Health,1,0,"listen I'm sure that if you're in the sahara then the whole ""you die of thirst in three days without water"" thing holds true.

that said within the context of the frozen north i reside i can say from personal experience that ive forgotten to hydrate for longer through the sheer power of ADHD",15
97106152,1,Movies/TV,1,1,"“VAN DYKE BROOKE WAS ONE OF THE BEST, IF NOT *THE* BEST DIRECTORS OF PRE-FEATURE AMERICAN CINEMA BUT HAS BEEN ERASED FROM HISTORY DUE TO HIS EARLY DEATH AND THE TENDENCY OF 20TH CENTURY FILM HISTORIANS TO IGNORE ALL NON-BIOGRAPH PRE-WWI MATERIAL, SEDUCED BY THE ‘GREAT MAN’ MYTH…”",19
60776988,50,Politics,1,1,"Leftist brain rot is real, every time I say you should run for your school board to push your local community left, because national wins will never happen without many small town local wins they immediately scream about Joe Biden it’s like nega Fox News",11
26290598,21,Sports,1,1,"if your high school football team had a marching band, you should know it’s more likely than not that the band wasn’t paying any attention at all to the game, in fact, couldn’t care less, and was instead focused on the musical duel they were having with the opponent's marching band across the field.",127
16805093,30,Economy,1,1,"The French Revolution happened when everybody knew that the aristocracy were a bunch of needy fragile losers hogging all the economic resources in the society.

And today, the billionaire class are revealing themselves to be needy fragile losers, and the more they try, the needier they look.",29
152110,30,Economy,1,1,"It’s pretty bleak that there’s millions of people who think Covid/9/11/the Holocaust are all things we aren’t being told the full truth about but who also believe stores need to charge 25% more for everything because there’s a shoplifting epidemic, I mean why would they lie?",172
11869641,1,Movies/TV,1,0,"Movies would really have you believe that everyone cuts themselves shaving every single time they shave within the first two motions, and then half the time after that they look at the blood and have a revelation. But that doesn’t happen to me more than every couple times I shave.",49
7946481,6,Music,1,1,It’s pretty amazing how much better and less obnoxious country music was up until about 2001 when it decided every song should be about how people who drink beer in small towns are better and more moral and more just than any other human being on earth,152
129263378,1,Movies/TV,1,0,I was worried that every single movie was going to be a superhero movie from now on but then they made more than one Shazam movie and everyone decided it was time for movies about lawyer and insurance fraud,35
129683519,21,Sports,1,1,I feel like more attention needs to be paid to the Shakespearean tragedy of the Bayless family where one guy is on tv screeching about how Johnny Manziel is still going to be more important to Cleveland than Lebron James while the other brother hosts a very pleasant PBS show about making tacos,26
62341604,1,Movies/TV,1,0,"We are 20 minutes into Blade and I'm suddenly feeling sad because it's a good reminder that dark movies (thematically, stylistically) used to have good lighting. I hate to be ""that guy"" but if this movie was made now the screen would be so literally dark you wouldn't see shit.",18
46397264,30,Economy,1,1,"My face when increasing interest rates doesn't create working class unemployment during a labor shortage caused by a mass disabling event that killed 1,100,000 people in this country and permanently removed still more from the workforce.",39
173794076,1,Movies/TV,1,1,Complaining that BARBIE doesn't have solutions for its portrayal of gender inequality is such an indirect but thorough reinforcement of Greta Gerwig's actual point that thinking about it makes me need to lie down.,10
35985239,37,Video Games,1,1,"I don't want to make a sad dad game, I want to make a game about a guy who finds two kids in the worst place on earth, and he knows he's out of his depth, but these kids have lost so much, he feels he has no choice but to be their dad as best he can. They're 14 and 17 so it's kinda hard.",16
5221216,1,Movies/TV,1,0,"For NYT Opinion, I wrote about The Zone of Interest, which might be the most compelling film out of a very strong 2023 best picture field.

I argue that it confronts us with our own complicity in atrocities today, and specifically those in Gaza.",39
68884363,65,Mental Health,1,0,"Starting to look like we may  have a period of no ADHD medication for 12yo.

Which will mean no school and significantly impact our ability to work as well. We know from recent experience, gaps in medication are a living hell.",15
43715433,21,Sports,1,1,i think that american football would solve a lot of its head injury problems if teams were allowed to slow down enemy runners with less violent means such as status ailments and curse magic. the game would be safer and more interesting if prohibitions on black mages were lifted,29
20599660,22,Climate/Energy,1,1,"“Many said this could not be done.” Sultan Al Jaber, the oil executive in charge of U.N. climate talks, led negotiators from nearly 200 nations to a major new climate agreement that pledges to transition the global economy away from fossil fuels.",52
39353569,65,Mental Health,1,1,"The politics of ADHD have been completely hijacked by upper middle class career concerns, so most people don't know that it is associated with a 13-year reduction in life expectancy on average. Smoking 20 cigarettes/day is associated with a loss of only 6.5 years.",14
5097029,1,Movies/TV,1,1,I think the only major component of the Barbie movie that doesn’t really work is the Mattel corporation bits. But I know that without demonstrating the actual reality that Mattel is patriarchal company would leave the viewer with the conclusion that Barbie is inherently feminist.,61
11038194,22,Climate/Energy,1,1,"The fires in Hawaiʻi are shocking and horrific, and I appreciate the attention of the global media on my small state.

I just wish when climate change fueled disasters strike areas in the global south, the media would show as much sustained interest.",78
60817421,1,Movies/TV,1,1,"Really not psyched that we've gone from ""Greta Gerwig is one of the most talented directors working today and she shouldn't be stuck making Barbie movies because she's a woman"" to ""WOMEN CAN MAKE BARBIE MOVIES JUST AS WELL AS ANY MAN, BEN SHAPIRO""",24
51254161,3,Pets,1,0,"Was telling my therapist today that dad’s cognitive issues are ramping up my and his cat Fred’s anxiety. Dad’s not predictable, Fred and I both need that. Fred’s pulling his belly fur out, I’m on edge from being in constant hyper vigilance. I think Fred and I are both having skin conditions flare.",16
28449967,3,Pets,1,0,"The dog stole my spot in bed when I got up for some water.

I didn’t have the heart to wake her and make her move, though.

It’s taken me two hours to gradually scoot her over and tug enough of the duvet out from under her to keep my legs warm.

(Old pic, I didn’t just turn on all the lights at 4AM)",13
109155901,65,Mental Health,1,0,"Time I spent being terrified of sorting out all of my old clothes for the rag bank/charity shop: 6 months

Time it actually took to sort: 22 mins

Number of bags to haul down five flights of stairs: 9 

Time it took to drop off at the charity shop: 5 mins

ADHD time blindness: SUPER EFFECTIVE",14
110453087,6,Music,1,0,Rimsky-Korsakov's Scheherazade is the ultimate test of a violinist imo. The ones who put their whole life into the solo live on forever. The ones who play politely would have been better off playing croquet instead of an instrument.,13
717767,30,Economy,1,1,"When a person steals gum from a store, it’s a crime.

When stores steal wages from their employees, it’s not.

Politicians talk about “rising crime rates,” but conveniently leave out that employers steal $50 billion in wages per year from their employees.",83
48908404,22,Climate/Energy,1,1,"The U.S. experiences an extreme weather event where damages cost $1 billion every three weeks, and $150 billion a year.

The longer we wait to take action on climate, the more it will cost to protect us. 

We should be protecting our future, not Big Oil’s profits.",52
31218083,50,Politics,1,0,"""nothing to offer""

Bud, he's accomplished some of the most progressive policy work in the last 50 years.

You're purposefully ignoring that because you want everyone to myopically focus on a single issue.

ou want Trump to win.",23
8125837,1,Movies/TV,1,0,My brother and I are finally going to see Barbie. He said he doesn’t have anything pink to wear so he’s going to recite feminist literature instead so the other movie-goers will accept him as one of their own.,17
139104293,30,Economy,1,1,"The Fed is looking for more evidence that inflation is meeting their target, and one is the cost of food. But food prices are being artificially elevated by corporate greed. So they won't lower interest rates until after the oligarchs agree to curb their greed?
Do I understand them correctly?",15
41023367,1,Movies/TV,1,1,"The Twilight Saga truly advances the most extreme, unhinged, unhealthy endorsement of heterosexuality and monogamy dressed up as romance I've ever encountered, and does so with zero idea or concept of cinéma. Alas I do sometimes revisit to gawk at Robert Pattinson's phenomenally attractive hands",32
26661218,1,Movies/TV,1,0,"tired: not taking your kid to see Barbie because they say cuss words and talk about brewskis

wired: not taking your kid to see Barbie because she's still in the phase of life the movie views with ironic nostalgia, and THAT sense of innocence is more important than not hearing a cuss",12
17389592,1,Movies/TV,1,0,"Film criticism saved me from deep depression and made me a better, more thoughtful person in general. Watching lots of different types of movies and reading about them gave me so much think about life in general and gave me hope during some really dark times. 

Scorsese gets it.",28
46845524,50,Politics,1,0,"tbh I think raising the salience of the age stuff to unbearable levels *now* is obscurely good for Biden; it is obviously his biggest weakness and the campaign has been skittish about it, but the only way out is through",14
126516395,30,Economy,1,1,that’s the point though. the amount of greed in capitalism did not increase from 2019 to 2023. so why did oil prices increase anyway? it’s because there was a underlying change in supply or demand that suddenly allowed for oil producers to exert their market power.,14
29173936,30,Economy,1,0,it's hard to go through life witnessing obvious signs of social decay - trash strewn streets and the like - while our dominant politics is still focused on broken windows policing without bothering to lift a finger to actually fix the fucking broken windows in the first place,14
24968819,1,Movies/TV,1,0,"Damn, I just watched the 1990 French movie Baby Blood and I feel like someone should have told me to watch it years ago. Perfectly poised on the borderline between art and trash, which is an iffy neighbourhood, but this rules it all.",11
83062210,22,Climate/Energy,1,1,Good to see the Advertising Standards Authority of Ireland (ASAI) rule against companies making 100% renewable electricity claims when largely based on the purchase of Guarantees of Origin (GO) certificates rather than direct renewable energy investment that would displace fossil fuels.,14
51839913,22,Climate/Energy,1,1,"California's GHGs continue to rise across nearly every sector at a time when we should be cutting pollution faster than ever. 

Anyone who is sitting in a ""break glass"" policy that felt too unrealistic a couple years ago should be shooting their shot now.",11
1626097,1,Movies/TV,1,0,"I've talked a lot of shit about YA but I honestly can't hate Hunger Games that much, never really read it and have no interest but they're taking guns and bombs to kill their rulling class and it's like, I mean alright. beats V for Vendetta where everyone does a march that ends fascism.",20
102285721,65,Mental Health,1,1,My husband knew I was overwhelmed and couldn’t get started on all the stuff I needed to do. So he took 30 minutes and body doubled me until I got started. Now that I’m going I’m good. This is why understanding adhd is vital for neurotypicals. You can help in really small ways that mean so much.,18
11354432,1,Movies/TV,1,0,"I did not think a movie about a quiet man who cleans public toilets in Tokyo would be one of my favorite films of 2023, but never underestimate Wim Wenders, a poet of cityscapes and a director with a curious and empathetic eye. Perfect Days is really special.",91
85444640,1,Movies/TV,1,1,I've never seen Longtime Companion (1989) until today and it's 2023! What a powerful movie and I think every gay man should see this time capsule of what the generations before endured and why everything after was possible.,34
28941524,30,Economy,1,1,"I’m sorry, bullshit. The job market is definitely better but day to day cost of living is markedly, objectively worse. The whole reason unions are finally making these gains is people were left with no choice but to push for them",17
9334399,1,Movies/TV,1,0,"Former Osage chief Jim Gray and the great journalist  David Grann explain how, even as ""Killers of the Flower Moon"" unfolds in theaters (it's great, go see it!), the true story of the scandal behind the film is being erased in Oklahoma classrooms.

A chilling and essential essay —",77
18308722,1,Movies/TV,1,0,"Went into Threads (1984) assuming that everyone remembers the movie being worse than it really is because they were too young and impressionable when they saw it. NOPE. Just completely harrowing, cannot believe they showed this on TV",25
145236684,1,Movies/TV,1,0,HOLY SHIT. Everyone’s the hero of their own story; the tragedy is that you might be the villain of someone else’s. Poison for the Fairies (1986) is a beautifully dark Spanish film about childhood and magic that feels like a throwback to late-60s filmmaking. Must see,17
51911032,1,Movies/TV,1,1,"Messiah of Evil (1974) is one of the most beautiful films I’ve seen in a long time. I want to live in it, even if I get violently murdered. It would be a good looking death. No idea what’s happening most of the time, don’t care",15
21779579,30,Economy,1,0,"Nothing must be made for its own sake

All things are financial instruments

Consider every object and concept an obligate opportunity to maximize profit

There is nothing wrong, all is as it should be",85
148234492,15,Books,1,0,"The best book I read in 2023. Longstreet’s most important contributions to history occurred after  Appomattox, although his wartime service remains a fertile field for argument (read Jeffry D. Wert for the best assessment of his generalship).",10
179549361,1,Movies/TV,1,0,"I like action films. But why do they all have to be so bloody misogynist?

I've just seen the new Mission Impossible film, which –while one of the best action franchises– had three strong women with names and backstories but only notionally passed the bechdel test if at all.",11
121302628,37,Video Games,1,0,"nothing in life is as satisfying as brute forcing your way through a boss fight when the game reallllly wants you to learn specific and complex techniques

oh you want to make me a better player? ha ha big guns go brrrr",76
88227102,1,Movies/TV,1,1,"Mike Flanagan is an expert at using the lens of literary horror to pick at the big questions that truly haunt humanity, like ""What if Edgar Allan Poe had lived in the 20th century? And what if he was Donald Trump?""",11
98020557,1,Movies/TV,1,0,"I'm going to need to watch it a dozen more times but I think part of the point of the Barbie movie is that Greta Gerwig, as a filmmaker working with a giant corporate IP, could only tell a story worth telling to her personally by doing so around the edges of the big studio movie.",26
35843665,1,Movies/TV,1,0,"The thing about movies in the 90s through the early 2000s is there were enough movie theaters and enough studios that there was space for experimentation. I think about the ""Why 1999 was the best year for movies"" stories a lot.",14
25299180,30,Economy,1,1,"""In 2013, a leading effective altruist argued in his graduate thesis at Rutgers University that because people in richer countries are, on average, more productive and more innovative, it is better to save their lives than those of people living in poor countries.""",11
110779893,30,Economy,1,1,"It's actually interesting that people see the late 1990s as a better economy. In terms of unemployment, it was about like now for white workers, but way, way worse for Black workers, whose unemployment rate back then was double that of white workers",17
24847097,37,Video Games,1,0,"playing grand theft auto 3

I have not seen this city in twenty years, but I have dreamed it

interesting that all of the ps2 era gta games ended up being period pieces, also, the music of the early 00s sure is bleak",19
59406316,1,Movies/TV,1,0,This film needed to settle in my head. Location ‘67 Morocco so Thebes & Corinth oddly authentic yet not Greece. A few too many method acted parts burst out vs just using the actors to analog the story. Can’t wait to see again.,13
32716306,1,Movies/TV,1,0,Hideko Takamine in The Munekata Sisters by Ozu in 1950. 21 years after her first movie as a child but well before she stars in all-time greats: 24 Eyes by Kinoshita ‘54 & A Woman Ascends the Stairs by Naruse ‘60,33
34204687,1,Movies/TV,1,0,"Today while chatting with my brother he said in all earnestness ""the Barbie Movie is actually much more in conversation with Plato than it is with Marx"" and I honestly love that we live in a world where this is a reasonable thing to say and also correct.",18
73125502,1,Movies/TV,1,1,"Bringing Out The Dead doesn't get its due, both as a Scorsese film and as a film capturing the spirit of the late 90s, with possibly Nicholas Cage's best performance. 

It's surprisingly gothic in atmosphere and manages to capture Scorsese's twin passions of New York grime and human spirituality.",12
90806888,30,Economy,1,1,"Poverty is the issue for certain types of crime, but other crime is born out of insecurity, and other crime out of inequality. That's why universal basic income has been shown to be so effective in reducing crime. Because it works along all three pathways.

In Namibia's UBI pilot, crime dropped 42%.",15
17617423,30,Economy,1,1,"In the Namibia universal basic income pilot experiment, overall crime dropped by 42%, and the illegal hunting of endangered animals dropped by 95%.

In the Dauphin Mincome experiment in Canada, overall crime dropped by 15% and violent crime by 37%.

Drug abuse also tends to drop with cash transfers.",80
81495554,6,Music,1,0,"Seeing Beyoncé singing “Black Parade” in New Orleans — such a proudly black city — with her oldest daughter next to her hit me like WHOA. It was so beautiful, powerful, and celebratory. My spirit needed that.",86
30564528,1,Movies/TV,1,0,walking to the bathroom at work and overheard someone say “and thats why Barbie is the worst thing to happen to America in like a decade” and had to then sprint to the bathroom so I could cry-laugh at that in peace,10
81361202,37,Video Games,1,1,"if video game companies were forced by union contracts to disclose their budgets and per-game profits the way hollywood unions require, then we would see that AAA games make more than enough money to pay for living wages and fair treatment",19
98754862,37,Video Games,1,1,I feel so strongly about the ability of games to improve people's lives and communication skills as well as critical thinking and problem resolution skills I'm a huge proponent of them becoming an entire elective in schools.,13
11099961,30,Economy,1,1,"The way capitalism see's skilled jobs as more important than unskilled jobs. Forget that if everyone went on strike in unskilled jobs, the skilled jobs would grind to a halt. Maybe that should happen, force better wages that way.",12
21672424,1,Movies/TV,1,1,"Watching Spirited Away for the umpteen-millionth time, and like with all Miyazaki movies, what stands out for me is that these movies are obviously made by someone who loves and respects kids, and has studied them: how they move and act, how they eat and run, cry and laugh.",61
76378128,1,Movies/TV,1,1,"Parents who let their kids under 12 go to a movie alone need to teach them to be more respectful. The past couple of movie experiences I’ve been to it’s either kids or teenagers that are so rude with being on their phones, being loud, and using their flashlight.",10
50573843,30,Economy,1,1,"The US government has operated on a low velocity top up approach to the economy for decades, most notably since the radical reduction of the marginal tax rates beginning with Reagan. A shift to high cash velocity approaches like UBI is a critical first step in repairing our economy for all.",35
5184931,50,Politics,1,1,"Joe Biden is much much much better for democracy worldwide and for Americans like me than any of the fascist Republican Party, and if you tell the left to vote against Democrats you have lost all credibility on all things politics.",36
100779644,30,Economy,1,1,"The actual reason the Luddites were ""right"" is that specifically the garment industry is one of the most exploitative industries that exist and part of this is that most people prioritise cheap clothes over the working conditions of those who make them. That's the real legacy of that argument today.",16
46253803,30,Economy,1,0,"i think ""yimbyism is a rightwing idea, nimbys arent a major factor in our housing crisis"" thinking would disappear instantaneously if people worked for even a week in a job that requires them to peruse planning complaints",29
112894650,30,Economy,1,1,"It is absolutely essential for people to understand that when Marx says that capitalism brings progress, he is fundamentally talking about the development of the productive forces.  He does not mean that it brings overall moral or ethical or social progress.  He categorically does not think that.",15
6447027,30,Economy,1,1,"The idea that being ""incentivized"" to do something explains why companies do it — or gives companies a free pass to do it — needs to be killed with fire, and the sooner the better. 

The whole point of our economy is that it incentivizes the destruction of a livable climate.",22
38429450,30,Economy,1,1,We should never raise wages because businesses will just increase prices and then we all pay. That apparently is especially the case when the minimum increases. Because this is how the economy works. Puzzle me the decades of stagnating wages and price increases.,14
59431130,37,Video Games,1,1,"""Promotion and marketing are not everything""
says director Yuichiro Kitao.

""I think developers’ passion is also in demand, so I would like to keep both in mind: research is research, and passion is passion.""

We need more of this thinking in the games industry.",23
15473533,15,Books,1,0,"[deep breath] ""...a novel set in 1930s Uz, Nebraska, as the dust storm leaves financial and ecological ruin in its wake, following the stories of a prairie witch whose body serves as a vault for peoples' memories and secrets, a Polish farmer and his untamable niece, and a Black photographer...",10
8999505,1,Movies/TV,1,1,"World building in cinema has gotten actively worse since we stopped considering ""super intense weirdo obsessed with minutiae"" as a vital part of the process. 

EVERY good sci fi & fantasy story deserves a world building weirdo who thinks too much about all that stuff & adds the necessary glue",125
9052280,50,Politics,1,0,"Ironic, isn't it? How the ""A Rising Tide Lifts All Boats"" crowd refuses to work with Biden to fix America's various completely manageable problems because it might lift up people they don't like and make EVERYBODY look good?",443
232787014,1,Movies/TV,1,0,Right? It's SO obnoxious and bad if you didn't grow up with it. One of the most aurally unpleasant films of all time. And yet my roommate got mad at me once because I asked her to watch it on headphones instead of blasting it on the big TV that's 3 feet away from my bed,11
58137198,1,Movies/TV,1,0,watching the flash movie and it’s as bad as everyone said but one thing that’s clear is that affleck was the right guy for the job. absolutely had the juice. warner bros squandered a once-in-a-lifetime casting coup on this. breaks the heart.,20
71593136,1,Movies/TV,1,1,I think the reason people love movies from the '80s so much is they're sick of lampshading and irony. People weren't afraid of being cringe so you could have Peabo Bryson do a sappy song over a montage of the main characters falling in love,10
55562403,65,Mental Health,1,1,"the part I hate about ADHD is that it forced me to become VERY self aware of my emotional state and processes, which I can guide, but also realized I'm largely just a slave to the processes it has in place.
I can be aware as much as  I want to be but it will get where I want it to be when it decides",14
22944813,50,Politics,1,0,"I'm not pro-Biden in any fashion, hate that once again it's these two guys, but the media going ""Hmm I dunno getting older might be worse than being a fascist that committed various terrible crimes"" is fucking mindrottingly stupid.",74
31639639,1,Movies/TV,1,0,"I don't like the notion that liking kids' media is inherently Worse than liking stuff for adults. My favorite book is The Brothers Karamazov and my favorite anime is Futari wa Pretty Cure, and gun to my head I'd tell you that Futari wa Pretty Cure is more important to me.",23
27377792,30,Economy,1,1,"Greedy CEOs-You're not fooling anyone, blaming inflation and raising wages for your price gouging. We all know it's only so you can become richer. Stop lying to everyone. No one with a brain is buying it.",42
54872228,1,Movies/TV,1,1,I'll go to my grave arguing THE PRESTIGE is Christopher Nolan's best film by a wide margin - not least because the fractured narrative and flashy techical game not only have a clearly legible point but emotions that don't feel cooked up in a server farm.,10
13480362,21,Sports,1,1,"I disagree that “Footballers should stick to talking about football”, partly because it’s a ridiculous thing to say, but primarily because the main thing I *never* want to have to hear Gary Neville talking about is, in fact, football",15
4866988,1,Movies/TV,1,1,"Bela Lugosi was a class act. By most accounts, he was not the bitter and envious person you see in the film ""Ed Wood."" While you're checking out those 20th century slashers and the newer horror flicks, make sure to give the Universal classics a watch. If you don't, it's your loss.",18
72967418,37,Video Games,1,1,"I’m begging horror game designers: don’t make your game so when you accomplish a task, something unrelated happens elsewhere in the world so you have to go play “spot the difference” with the entire possibility space before you can progress. _Begging._",19
25519429,6,Music,1,0,"Algiers is one of my favorites, a band that is so perfectly guided by the era we're in right now. Their urgency and energy to buck the system, build community, and face fascism head on is palpable. 

Also, their live sets are *phenomenal* and frontman Franklin James Fisher always kills it. 🎧",10
102955867,21,Sports,1,1,"More people should start watching sports. It has entertainment and, most importantly, the conflict that everybody craves so badly except the conflict is strictly regional and you can have actual tangible things to fight about instead of trying to construct weird character flaws in your enemies",15
21178918,65,Mental Health,1,0,"Honest question, where how do you start with regards to ADHD medications and figuring out if they are right for you?

I've literally never spoken about this to any healthcare providers, but known about the issues I have for a longtime, and honestly they've gotten way worse the last few years",10
126497048,6,Music,1,0,"It is very strange, as a theatre kid, to be basically paying no attention to the football game that’s on in the room for other peoples’ amusement, until the marching band inexplicably starts playing the opening chords of “The Phantom of the Opera”",12
14623963,6,Music,1,0,"1955: Ken Nordine (“Word Jazz”) opens the Off Beat Room in Chicago and institutes a “no talking” rule for the audience. Albert Grossman is so impressed at Bob Gibson’s 12 hour “folkathon” that he gets into the folk music biz, goes on to manage Bob Dylan, Peter Paul and Mary, etc. And the rest…",18
3756734,30,Economy,1,1,"It was greedflation more than inflation 

“A joint study by think tanks IPPR and Common Wealth found profiteering by some of the world’s biggest companies forced prices up significantly higher than costs during 2022.”",36
11877384,15,Books,1,1,Reading Skin Thief by Suzan Palumbo.  Propagating Peonies might be the best story about the deep ambivalence at the heart of Buddhist practice I’ve ever read. This book is so ridiculously good. Deeply embodied stories about the spiritual homelessness of being pulled between 2 worlds,14
83379245,30,Economy,1,1,So far the most depressing thing in Fargo S4 is not the murderous nurse or cynical petty power plays - it’s hearing President Truman over the radio calling for price control and rent control to prevent inflation hitting the cost of living,39
91463430,30,Economy,1,1,"I started work right around the Great Recession and I was told that times were tough and we needed to cut costs. Then, things got better, but I was told times were tough and we needed to cut costs. Now, the economy is the best it's been in decades, but still times are tough and we need to cut costs.",13
17143,50,Politics,1,1,"The kamikaze left is convincing millions that the IRA, 3% unemployment, 5% GDP growth, no wars and withdrawal from Afghanistan, are a nightmare. They’re going to get Trump re-elected and in 3 years everyone will not be able to remember why Biden was bad and realize we collectively lost our minds",321
50859936,50,Politics,1,0,I need the Republicans to lose in 2024 and will be voting accordingly in my swing state. I don't see any strategic case for doing otherwise. I do empathize with someone who just feels an unconquerable aversion to voting for Biden. Vote-shaming individuals is *both strategically and morally stupid.*,106
44209970,6,Music,1,0,"1990’s trends in music that always make me smile to remember

Swing dance revival 

The Hair band and Grunge rock divide, a heated battle over which of them represented “real” music, with neither side realizing guitar rock as a whole was about to become culturally irrelevant

Gregorian Chants",12
