post_id,topic,topic_name,probability_score,label,text,engagement
216755202,73,Writing & Authors,0,0,"I've written 68 out of 127 poems for my big project, so far. So I'm just slightly ahead of schedule. I just remember how, the first year I did this, it was for my version of nano 😅
2-3 complete poems a day.",12
6035367,20,Birds & Nature,0,0,"I’ve been actively listing since 2016, eBirding since 2018 and have historical lists from Mexico logs going back to the 90’s. 1222 for life list.  My cousin has actively listed since ‘90s but started list over in 2006 because he was no longer confident in his early ID’s. What’s your list story? 🪶",39
73685169,38,Film Photography,0,0,This is my DIY darkroom setup in our laundry room where I make prints from my digital images. I use inkjet printed digital negatives to contact print traditional silver gelatin photo paper or do alternative processes in my UV exposure unit.,8
56627361,52,Fitness & Gym,0,0,Gotta get back into doing yoga before I have to explain to a doctor that I blew a rotator cuff cirque du soleiling the lid off the toilet tank behind me so that I could dip the toilet paper into the tank water for a fresh wiping experience.,7
36842210,11,Books & Reading,0,0,"Every year I talk about my ten favorite reads, and this year, I’ve got a little something different.

These are the top ten books of 2023 (plus a bonus pick published in 2022, New Adult) that made me want to keep writing.

An inspiring stack. Treat yourself to one or eight. ❤️",27
29651275,31,Academia & Research,0,0,"Hello BlueScience Crowd! 🧪

A few dates of the MBL's 2024 Advanced Research Training Courses (ARTCs) have changed since we first posted the schedule. Please make sure you check mbl.edu/courses for the most up-to-date course info!",15
150563,78,Higher Education,0,0,"I apologize for the irony of committing discourse, but I wanted to write up my replies to @@6837 in more detail and explain why I'm in favor of paying some attention (maybe not this much) to the Ivy presidents' hearings open.substack.com/pub/musgrave...",58
71253816,10,Music,0,0,"hello! i have a new album out!! ADVENT CALENDAR 2023

each song was written within one day this month. i'm proud of what all i was able to accomplish in a short timeframe! lots of chiptune and tracker music with idm and post-rock inflections

PLEASE ENJOY
🌨️❄️🌨️❄️
h-v-b.bandcamp.com/album/advent...
❄️🌨️❄️🌨️",13
46620244,51,Ancient History,0,0,"A graphite pencil drawing of a huge limestone bull's head from Persepolis at the Institute for the Study of Ancient Cultures. I sat on the floor for two hours drawing this

Eastern Guardian Bull from the Portico of the Throne Hall, Achaemenid Period, 486-424 BCE

Maybe 2.1-2.4 m high (eyeballing it)",30
81610929,12,Climate & Energy,0,0,"Last week governments and climate scientists met in Istanbul for #IPCC60 to decide on key outputs for the next few years. 

Want to know what they agreed and why? 
@@211396, Uta Klönne and Alexander Nauels break down the outcome in our new blog.",7
30859333,39,Movies & Film,0,0,"Watched the original Woman In Black today, it's fantastic. My favourite kind of ghost stories (and films) share a certain bleakness, a shadow that spreads over the characters so that they're doomed from the very beginning. British ghost stories and Japanese ghost stories seem to do this best.",103
4478747,50,Poetry & Literature,0,0,"“dear friends don’t worry / grief makes me invincible I am / the sleekest fucking shark in this ocean / eyes open asleep teeth ready I mean / there is nothing anyone could get from me / worth taking” —Carolyn Oliver, “Night Ocean”",9
113734975,10,Music,0,0,"Fripp & Eno ""(No Pussyfooting)"". My first exposure to ambient - unless you count Terry Riley's rainbow. Wasn't quite sure what to make of this when it was released in 1973, but side 1 'The Heavenly Music Corporation' got played many times. It still gets an outing these days.",13
159521165,0,Pets,0,0,"Well it’s officially been 21 years as a furry! September of 2002, some kid in science class (freshman year of HS) leaned over and asked me if I liked Starfox and Disney’s Robinhood. Within a week I was hooked!",10
223930314,10,Music,0,0,"‘Volta’ is “Album of the Week” 😃🤩😲 @@21555 
Such an honour 🖤💙💖

“You cannot leave the musical space of Yorke’s album without at least 70% more hope or joy than you started with.”

thequietus.com/articles/33784-…

Limited Edition CDs and DLs via loulayorke.bandcamp.com 🧐",10
21103448,0,Pets,0,0,"It's taken over a year to get to this point but both girls will now happily sit next to me on the sofa (occasionally at the same time) 😍

Not at lap sitting stage yet but Jadzia does love to stand on my boob to sniff my face.",32
41346863,49,Space & Astronomy,0,0,"We just published version 2.6.0 of Astro-COLIBRI. This marks the beginning of an exciting collaboration with the Unistellar #CitizenScience program!

We are now transmitting alerts of very bright supernovae detected by ZTF and selected by the ALeRCE broker and the Unistellar team.",11
108845997,0,Pets,0,0,"Grigor has had allergies for a while now. Changing food helps a bit but doesn't fix it completely. Mostly environmental. Sucks 4 him of course, but what surprises me the most are the long ass emails the vet sends to help us out instead of the one liners I get from my MDs. Imma bit jealous of my cat!",10
21766741,11,Books & Reading,0,0,"YOUR SHADOW HALF REMAINS by Sunny Moraine is here! 🎉
I was lucky to read this early, and called it ""a haunting dance of imagination and dread,"" wherein the need for closeness battles the threat of meeting anyone face to face.
Out Tuesday from Tor Nightfire 🔥",9
7653686,0,Pets,0,0,"I've had Cherry for a year and some change now, and I'm still not over the amazement that I have a dog. I have a dog! She goes everywhere with me! She's like a little person!

Will I ever stop being amazed? I hope not.",17
17102997,52,Fitness & Gym,0,0,"This shirt? It's a 3x. It's a little tight, so I'm not quite there yet, but it's coming. This time last year? I was a 6x. 

Weigh-in today was 351 lbs. The progress I'm making is mind-blowing. It's surreal.",37
10842656,39,Movies & Film,0,1,"the ten movies i've watched most in my life, no order

1.  raising arizona 
2. apocalypse now 
3. lawrence of arabia 
4. inglourious basterds 
5. bringing up baby 
6. stop making sense 
7. seven samurai 
8. animal crackers 
9. dr. strangelove
10. valley girl",16
26042236,38,Film Photography,0,0,"The weekend outing was all about getting dad up to ‘The Devils Punchbowl’ with me catching it all on video, I also brought my M6 with 20 shots left to go. Rossco took his MP with E100 and you’ll never guess: both the fucking things were NOT winding on🤬

Leica’s FUCKING SUCK",10
99091841,78,Higher Education,0,0,"What if you could have the perfect university where everyone learned liberal arts and how to be good people, and all the grad students got paid a living wage—BUT, as payment, over in the English Department they had to keep torturing a poet?",15
9593790,83,Economy & Jobs,0,1,"Real median wages (inflation-adjusted using CPI) rose 1.4% in Q4—and are now up 2.5% since pre-pandemic

We've hit the highest real wage level outside the early 2020 data (which is distorted by the exclusion of laid-off low-wage workers), though remain below the pre-COVID trend",33
157601749,42,Autism & Communication,0,0,"Talked to a friend on the phone today & like usual, it became a 2.5 hr convo. He recently discovered he's autistic & we spent 10 mins on how comfortable we are talking to each other, & how that easy familiarity is hilarious in hindsight now that we both know we're autistic/we're so damn similar 😁🖤",19
106623275,51,Ancient History,0,0,Excavations at Ballynamintra cave continues by our mighty crew on site. We are grateful to the continued assistance from the Cork Speleological Group. This work is funded by the Royal Irish Academy and the Irish Research Council COALESCE Instar+ grants. #IrishCaveBones #IrishArchaeology 🏺,10
83599295,15,Sports,0,1,"That was one of Tottenham's best wins this season IMO. Excellent in parts, resolute in others, a bit squeaky a couple of times. And Everton were good: a Spurs team of assorted bit parts had to dig in.",11
131001079,78,Higher Education,0,1,"There are like 20 million college students and 1 million full time faculty in the US. Of any US institution this size, I’d say this one has the freest speech, the most tolerance, and the least extremism.",23
36640253,12,Climate & Energy,0,1,"Salmon lice from aquaculture salmon farms push sea trout towards a crisis - The impact on sea trout is so large, and covers such large geographical area, that this threat alone has been and will be the determining factor for the development of sea trout in Norway. New report vitenskapsradet.no",15
23330545,50,Poetry & Literature,0,0,"“When we were in public, it was impossible to forget that we were living out this story of ours before the eyes of society; I took this as a challenge to overturn conventions.”
- Annie Ernaux, The Young Man",12
20279111,49,Space & Astronomy,0,1,"For Apollo 15, 16, and 17, NASA sent up the battery powered Lunar Roving Vehicle so the astronauts could extend their range as they explored the moon. Weighing only 76 lbs on the moon, the moon buggy helped the astronauts transport equipment and samples around, and all three are still on the moon!",35
38610096,50,Poetry & Literature,0,1,"Albert Einstein (1879–1955), German-born physicist, formulated the theory of relativity and iconic equation E=mc². Nobel Prize in Physics 1921. Fled Nazi Germany, settled in the US. A pacifist and advocate for civil rights. Passed away in 1955, leaving a lasting legacy in science.",13
65280697,52,Fitness & Gym,0,0,"I want and have been like urged to start exercising regularly to ward off forthcoming decrepitude and enervation but I've run into one significant problem and that is I cannot find a method by which I will be constantly praised before, during and after for exercising",13
49761712,78,Higher Education,0,0,"I have three degrees, all in the humanities: BA in theology/philosophy (religious studies, basically), MA in English Lit, and MSt in Women's Studies.

I'm a grant writer for a non-profit. College majors rarely correspond to what you end up doing for a career.",40
195299231,38,Film Photography,0,0,Unwinding as always in the Fens with a camera I am just at one with (Toyo 45a) - possibly the most perfect field camera I have used for my needs over the last 10 years and I’ve used maybe half a dozen in that time.,16
9687132,10,Music,0,0,"Earnest lil guy working on new (for me) genre-irresponsible approaches to electronic music exploration for 2024. To build relationships in support of new work, I’ve set all my stuff to pay what ya wan or a buck, or just come give listen.

wileysoule.bandcamp.com/album/like-k...",7
68573939,0,Pets,0,0,"If you’ve read The Last Days of the Dinosaurs, you’ve probably seen the dedication to Margarita. This is her. She reached out through the shelter bars in 2011 and never let me go until she passed away suddenly in 2019. She’ll always be on my lap.",36
13851374,42,Autism & Communication,0,0,hiiii ummm 👉👈 I have autism and um my special interest is burying ppl alive 🥺 so could u please go ahead and get in the coffin for me 😊 I can't control my hyperfixations... please be respectful of my needs 😓,12
13078488,78,Higher Education,0,1,You really gotta pay more attention to the messenger than the message sometimes. Bill Maher saying college is dumb and that Harvard/Yale grads are ruining America means nothing when you know he has a Cornell degree. That's just Lesser Ivy Envy. I could write a book on that.,11
21796725,83,Economy & Jobs,0,1,"I’m not an economist but maybe there can be a difference between “the metrics of the economy are, objectively, good” and “we have structured our society so that even when the economy is good, it doesn’t feel like it in daily life.”",21
51548023,39,Movies & Film,0,0,"LES DIABOLIQUES (1955)
Dir. Henri-Georges Clouzot
France
Thriller, Crime, Mystery

A cruel and abusive boarding school headmaster becomes the target of a murder plot set by an unlikely duo — his wife and his mistress, bound by their mutual hatred for the man.",16
10743728,12,Climate & Energy,0,0,"""There is no compromise for our future. 

No amount of intimidation or bribes will make us back off. 

Peoples are dying. Nations turning into deserts while others are drowning. 

And here fossil fuel lobbyists have captured a climate space.

We say #EndFossilFuels!"" - Ina-MariaShikongo at COP28 🔥",58
98359798,15,Sports,0,0,"Net gained/lost votes through 33 ballots (~8.6% of the vote):

Sheffield +3
Wagner +3
Beltrán +2
Rollins +2
Hunter +1
Jones +1
Ramírez +1 
Helton -1
Pettitte -1
K-Rod -1
Abreu -2
Buehrle -2
All other returning candidates +/- 0
tracker.fyi",8
12921757,31,Academia & Research,0,0,"Interested in living and working in Yosemite NP this summer? Do you like working outside with beautiful plants (#Monkeyflowers)?!?! Are you interested in ecology and evolution? Then apply to be a field technician in my lab this spring/summer 2024!!!! Please Repost!!! 
#Mimuluspropaganda",11
63052270,11,Books & Reading,0,0,"i finished moby dick yesterday, and what a fun and weird and rewarding experience. i loved it so much. i think it’s in my top 3 fav books now??? i couldn’t stop talking about it all month and i loved seeing everyone else’s posts too. i miss it already! 🐋",20
128177267,38,Film Photography,0,0,"As I picked up my matches and was closing the door
I had one of those flashes, 
I'd been there before, 
I'd been there before

Fuji GS645W
Kodak Portra 160
Tahiti, French Polynesia 
#believeinfilm
#filmphotography",26
153747680,11,Books & Reading,0,0,"New on the blog today, I've written about AFTER THE FUNERAL, an excellent collection of stories by Tessa Hadley. 

She writes beautifully about relationships, particularly those between mothers and daughters, siblings, lovers and other complex bonds. 💙📚

jacquiwine.wordpress.com/2024/02/11/a...",11
11128219,49,Space & Astronomy,0,1,"World's largest known asteroid impact crater 
could sit below Deniliquin in southern NSW, 
experts say 
. abc.net.au/news/2023-10...

 The crater is thought to be roughly 520km in diameter 
The potential asteroid's impact could have caused an ice age, wiping out 85% of species 
-ABC News",6
46960553,10,Music,0,0,"In the past ten years or so, I've seen at least a half dozen or so Tuareg bands live--so-called ""Desert Blues"" acts--and I've enjoyed every one.

But this Bombino show I just got home from was a level of heat I've rarely experienced at any kinda show.",20
31520786,39,Movies & Film,0,1,"We watched both versions of The Ladykillers this weekend. The original is a great movie! It’s fun and funny, a little dark but also kind of sweet. Alec Guinness looks hilariously awful but it works. I e seen it before and I’ll watch it again. The Coen bros version is disgusto barfo. I watched it",11
26335697,48,Video Games,0,0,I'm gonna need the firehose of industry-shakingly good games to cool it for a minute because I have neither the time nor the money to play all this stuff and I'm not even talking about all the indie/AA stuff that's dropped recently too.,8
6653709,15,Sports,0,0,"homebrew chapter idea: the 1985 chicago bears. a successor to the 1984 chicago bears, the 1985 chicago bears are remembered for their championship 15-1 season and trademark “super bowl shuffle.” they are also have something of a penchant for high civilian casualties",130
137778216,0,Pets,0,0,"we adopted lucinda from the NYC shelter system. they found her tame in some building, & she aced her behavior & temperament test, perfect for me, a first time cat owner. we brought her home spayed that night. she was only $20 bc she was over 7yo. This sweet little walnut is my ride or die 🧡",15
41111961,39,Movies & Film,0,0,"Another 31 Horror Films completed this October - all films I've never seen before. My favourites were:

The Wolf Man (1941)
Salem's Lot
Re-Animator
Fright Night
Chopping Mall
Lifeforce
The Return of the Living Dead",16
33993836,0,Pets,0,0,"Just been to see my new baby girl…

Most probably the last time I see her before we collect her on her “gotcha day” in January after our trip. 

I’m hoping kennel club can name her “KevBecky Ciccone Moyet Lu”  Lulu for short. 🐾❤️",54
865104,52,Fitness & Gym,0,0,"Re: Health crap*

I bought a scale. From my heaviest 2 and a half years ago (over 420) I am now at 360.5 lbs. This is not an achievement. It sure as fuck isn't a journey. I am not celebrating. 

I miss being 420, I was pretty fuckin' hot.

* A poor choice of words given the side effects of metformin",67
34348136,42,Autism & Communication,0,0,"""back in my day, you only had to be autistic enough to memorize 200, maybe 300 pokemon. kids these days right off the bat gotta be autistic enough to memorize like three thousand. and that's why the autism rates keep going up""",10
19089315,73,Writing & Authors,0,0,"Morning at the coffee shop with @@448461, each of us writing our works in progress.

I wrote another 1500 words. 
Easier than yesterday. Dialogue flowed well. Power of a semi-decent sleep and not worrying about time.

Current count: 96k 🖤

Aiming for 115k total now.

#writingcommunity",9
23109508,39,Movies & Film,0,0,"opened on this day in 1984

REVENGE OF THE NERDS

directed by: Jeff Kanew
starring Robert Carradine, Anthony Edwards, Curtis Armstrong, Larry B. Scott, Timothy Busfield, Brian Tochi, Ted McGinley, Donald Gibb, James Cromwell, Julia Montgomery, Michelle Meyrink, John Goodman, Bernie Casey

📽️  filmsky",7
3768156,48,Video Games,0,0,"Bad enough: The fact that Insomniac Games was hacked & employee information was stolen & leaked.

Somehow even worse: Claiming they deserved it because you didn't like Spider-Man 2.

Freaking hell, I gotta stay out of major gaming news comment sections. I either get furious, lose IQ points or both.",18
41987774,20,Birds & Nature,0,0,"Whenever I put up photos of red-necked stints, someone will ask ""where are their red necks?""
Well here's one developing a bit of red prior to migrating.
They only get the red plumage during the breeding season.
🪶 #birds",41
46620244,51,Ancient History,0,0,"A graphite pencil drawing of a huge limestone bull's head from Persepolis at the Institute for the Study of Ancient Cultures. I sat on the floor for two hours drawing this

Eastern Guardian Bull from the Portico of the Throne Hall, Achaemenid Period, 486-424 BCE

Maybe 2.1-2.4 m high (eyeballing it)",30
44136701,73,Writing & Authors,0,0,"Y'all. I know 100 is not a lot but this little introvert ass has promised herself to rebuild the community she had found at the Bad Place™ and actually pushed herself to be more outgoing these last two weeks so this is a BIG thing for me. 

In actual writing news: I have worked on my WIP today. Yay.",11
4753093,78,Higher Education,0,1,"I know you know this, but there is a lot of danger and downside to disincentivizing (or defunding) non-stem university education. a society of nothing but engineers and doctors isn't the utopia you might think it is",152
29259427,50,Poetry & Literature,0,0,"Good night 🌙 

“All people have three characters, that which they exhibit, that which they are, and that which they think they are.”
- Alphonse Karr

“What you do speaks so loudly that I cannot hear what you say.”
- Ralph Waldo Emerson",11
58859746,11,Books & Reading,0,0,"I just finished an ARC of A MAGIC FIERCE AND BRIGHT by @@1521806 and it's amazing! Breakneck pacing, creative magic, fantastic characters, great worldbuilding, and one really cool sentient motorcycle. YA readers, put this one on your lists!",16
46644721,15,Sports,0,0,"‘We knew that we could hurt them’: Angel City started scoring early and never stopped, beating Portland 5-1 to prevent the Thorns from winning the Shield and sending ACFC to their first postseason

Read more: equalizersoccer.com/2023/10/15/a...",9
41900981,78,Higher Education,0,1,Listen. No one does an English degree for the money. Studying the humanities has never been about making you a good cog with a job in the capitalist machine. It’s about enriching you as a person and shaping our society into one that creates and appreciates the arts and new ideas.,62
14187691,42,Autism & Communication,0,1,"Content note: Suicide

The autistic suicide rate is demonstrably higher than in non-autistics, though lower in those with intellectual disability. However ID may not actually be protective; instead a possible mediating factor is higher monitoring/lack of access to tools.",24
104164633,38,Film Photography,0,0,"Cambridge Colleges On Film
Queens' College dating from the 1590s and and its stunning Cloister Court in deep shadows and pools of light..

Leica M6
Summicron 35mm lens, 
Ilford XP2 400 film
#chiaroscuro #blackandwhitephotography",24
39071859,0,Pets,0,0,"One of my favourite things about my cats is that when I say ""you're safe!"" in a particular sing-song, they immediately relax. It takes a huge level of trust for them to believe I've got this and then relax into whatever is happening (which is usually absolutely nothing).",25
74281521,15,Sports,0,0,"Today, I learned that this is what it's like to watch when Australia is playing cricket. If you don't get at least three days of drinking out of watching a match, it's a bit of a loss for everyone even if Australia wins it.",12
253138,52,Fitness & Gym,0,0,"When the heck did everyone decide that they were going to go into the gym at 8pm???

Luckily, I decided to go a little early today. I used to go at 8 because no one was there.. guess I'm gonna have adjust my night times.

Anyways, I did the gym thing again, shower me with praise, and congrats 😋",8
108358920,33,Gardening & Plants,0,0,My very first dahlia from tubers I bought from @@119607 ' spouse . They were planted relatively late but I didn't think it would take quite this long! I'm blaming our hot summer and my own ignorance of how tubers like to be treated after they're planted.,10
14077365,49,Space & Astronomy,0,0,"Feel like posting some space this morning. I LOVE imaging galaxy clusters. For some reason I completely forget *which* galaxy cluster this is (need more coffee) but I hope you like it. :) About six hours of integration time, imaged w/my RC and processed in PixInsight 🔭📷🛰",64
45815660,42,Autism & Communication,0,0,"The everpresent and crushing weight of evangelical belief and social norms that people attempted to hoist onto me as a kid

VS.

My immense amount of autism that made me incapable of actually accepting any belief system on its face",54
3603168,10,Music,0,0,"TODAY ONLY, we're offering ✨0% OFF✨ everything in RS' Bandcamp and Ko-fi shops!

Steam Sales and other bullshit have trained you to never shop online without a discount—but we're just two people. Enhance someone's Xmas with SAND: buy a book!

☀️ risingsand.bandcamp.com
☕️ ko-fi.com/risingsand/s...",8
72338816,48,Video Games,0,0,"My heart goes out to BioWare fam affected by the layoffs. If companies were humane and cared about their employees, surprise mass layoffs wouldn’t be a thing. I hope this continues the push for labor reform in the industry and everyone finds a better opportunity ✨",14
10333214,48,Video Games,0,0,"You know how this will play out ... 🤔
It's always good to have options - but this will be a long-term push towards the goal of making gaming services just like the mess that the streaming video services industry presents. I haven't yet met a consumer who is happy with how it's structured.",17
199474548,15,Sports,0,0,"instead of the lottery, states should run contests where you can be signed to a five-year contract as the head coach of the state's largest public college football program, fully vested, and then immediately fired",12
11141720,15,Sports,0,0,i have been informed that the baseball players have all been given uniform pants that are sheer and i think they should start wearing fishnet tights under their sheer pants. we gotta make baseball sexier,165
76223259,83,Economy & Jobs,0,1,"huge moment for ""it's all gas prices"" thought

*MICHIGAN YEAR-AHEAD INFLATION EXPECTATIONS FELL TO 3.1% VS 4.5%
*MICHIGAN 5-10 YR INFLATION EXPECTATIONS FELL TO 2.8% VS 3.2%
*MICHIGAN DEC. EXPECTATIONS INDEX ROSE TO 66.4 VS 56.8
*MICHIGAN DEC. CURRENT CONDITIONS ROSE TO 74.0 VS 68.3",18
56711698,23,Food & Cooking,0,0,"second round of dishes done and put away, roasted chicken pulled, just have to rally and cut some vegetables and mix up some dressing and then take a shower at a water temperature of roughly 48F degrees",11
143947364,38,Film Photography,0,0,"Ottawa Winter 2016? 2017? I'm not sure, but here we go.

I'm pretty sure it's all Manor Park, an early midcentury-style suburb here in Ottawa.

They may have been made using an LG G4 or an iPhone 7. I don't exactly remember.",15
33814846,49,Space & Astronomy,0,0,"Sup #gamers it's NGC 281, otherwise known as the Pacman Nebula. Pacman in god form. Old Pacman.

specs:
~9 hours of H and O
5 hours of S
5 min exposures
Processed in SHO palette
Scope: ED127cf
Cam: QHY268m
Mount: iOptron GEM45
#astrophotography",145
48544459,15,Sports,0,0,"Gotta find a way to prevent Fox News from finding out a 6’3”, 170 lb. white guy from Kentucky might be the first pick in the NBA draft this year. Can’t deal with that take cycle. Gonna find a way to sabotage some mock drafts with AI.",117
20218621,83,Economy & Jobs,0,1,"I circled back to when I first did a cart price comparison in October 2017 
I only did SS, WM and Sobeys 

Now in Sept 2023
Superstore's basket was up 53.9% 86.46 v 133.02 
Sobeys up 59.3% 97.18 v 154.85 
Walmart up 66.4% 79.12 v 131.68 

anyone's wages go up 66% in the last 6 years?",28
17678974,38,Film Photography,0,0,If we can't get the radio in this Tom Thumb working I might still try the camera for the next #shittycamerachallenge. If we can wake the radio up from its slumber I 1000% will use it for the challenge.,19
52332796,48,Video Games,0,1,In a burgerpunk dystopian future the most famous hardware company in the world can’t make an AR headset that doesn’t give you a headache and private security companies are harassing people over collectible card games.,18
12805671,49,Space & Astronomy,0,0,"Thor’s Helmet Nebula. While the common names of some nebulae are a stretch, this one only takes a fraction of a kilojoule to spark the neurons and make the connection.

EHD 8”/ASI533MCP/Optolong L-Ultimate/3.8 Hours/Bortle 9 

#astrophotography #astronomy",52
36059707,11,Books & Reading,0,0,"Question of the day from me; what's a book you've read more than once that you still enjoy even knowing what's coming? Anything, doesn't have to high brow or even that well known, just something that means something to you.",4
53605047,51,Ancient History,0,0,"ClassicsTober Day 24: Hephaestus. The unheralded Greek god of blacksmiths, metallurgy, artisans, sculpture, and much more. In this fresco from Pompeii, Hephaestus reveals to Thetis the new armor he has made for her son, Achilles. Look at her reflection in the shield! 🏺 

#MANN",13
77492880,83,Economy & Jobs,0,1,"$100k yr income equates to $35k of purchasing power, in most major cities…making under 70k is considered struggling. And you’re still fighting for $15hr, while the fed min wage of $7.25hr hasn’t increased since 2009.And they aren’t even arguing over how much to give you anymore.",13
24192616,31,Academia & Research,0,0,"If you're a grad student and work on the Gulf, consider applying for AGAPS 2024 graduate student workshop -  applications are due February 15. This is an interdisciplinary opportunity so please share to relevant lists beyond menasky polisky",6
17363421,73,Writing & Authors,0,0,"Okay for our reading next week we have five minutes... I timed myself reading this one and it took me 5 minutes and 23 seconds, which I feel is close enough. 

SORRY COHORT, I'M READIN GENRE FICTION AND YOU CAN'T STOP ME

THERE'S AN ALIEN IN THIS

smallwondersmag.com/piece/imagin...",51
